id,lat,lon,alt,name,muni,prov
ESCAT1700000017171A,42.0141666667,2.54694444444,817.0,,,
ESPVA0300000003816C,38.6638888889,-0.4,733.0,,,
ESPVA4600000046140B,40.1211111111,-1.41888888889,1310.0,,,
ESPVA4600000046680B,39.1886111111,-0.436666666667,17.0,,,
ESPVA4600000046713A,38.9461111111,-0.164444444444,27.0,,,
ESCLM1600000016214A,39.5533333333,-2.01583333333,802.0,,,
ESPVA1200000012530A,39.8880555556,-0.0847222222222,17.0,,,
ESPVA4600000046291A,39.2127777778,-0.528333333333,62.0,,,
ESCAT2500000025316A,41.7966666667,1.03055555556,316.0,,,
ESPVA4600000046420A,39.2744444444,-0.278055555556,0.0,,,
ESCAT0800000008912A,41.4458333333,2.2475,30.0,,,
ESAND1800000018817A,37.6936111111,-2.66111111111,705.0,,,
ESPVA0300000003700G,38.8411111111,0.106388888889,13.0,,,
ESMAD2800000028016A,40.4636111111,-3.67361111111,706.0,,,
ESEUS0100000001430A,42.8669444444,-2.88555555556,567.0,,,
ESPVA1200000012499A,39.8486111111,-0.324722222222,415.0,,,
ESPVA4600000046370C,39.5422222222,-0.896944444444,850.0,,,
ESARA4400000044600A,41.0522222222,-0.127777777778,350.0,,,
ESPVA0300000003802D,38.7533333333,-0.379166666667,565.0,,,
ESPVA4600000046370B,39.4736111111,-0.717222222222,268.0,,,
ESCLM1600000016317B,40.21,-1.59166666667,1402.0,,,
ESPVA4600000046470B,39.4033333333,-0.403611111111,21.0,,,
ESPVA4600000046196A,39.2752777778,-0.569166666667,91.0,,,
ESCAT0800000008830D,41.3469444444,2.03305555556,22.0,,,
ESPVA4600000046294B,39.0722222222,-0.5675,46.0,,,
ESPVA4600000046980A,39.5308333333,-0.439722222222,90.0,,,
ESCLM1900000019243A,41.1119444444,-2.98472222222,1136.0,,,
ESPVA0300000003801D,38.6966666667,-0.472222222222,580.0,,,
ESPVA4600000046360C,39.4183333333,-0.793333333333,400.0,,,
ESCAT0800000008470A,41.6833333333,2.48055555556,150.0,,,
ESPVA4600000046950A,39.4647222222,-0.427222222222,45.0,,,
ESMAD2800000028794B,40.785,-3.69111111111,839.0,,,
ESPVA4600000046016A,39.5069444444,-0.365277777778,12.0,,,
ESIBA0700000107430A,39.685,3.0,77.0,,,
ESMUR3000000030430A,38.0941666667,-1.78611111111,560.0,,,
ESCAT0800000008233A,41.6025,1.92111111111,425.0,,,
ESCLM1300000013150A,39.0211111111,-3.81833333333,616.0,,,
ESCAT0800000008471B,41.6502777778,2.49416666667,200.0,,,
ESMUR3000000030600B,38.1158333333,-1.30638888889,120.0,,,
ESLRI2600000026001A,42.465,-2.45,395.0,,,
ESCAT0800000008759D,41.3741666667,1.93138888889,216.0,,,
ESCYL2400000024855B,43.0572222222,-5.32194444444,1367.0,,,
ESCAT4300000043800A,41.2994444444,1.26638888889,227.0,,,
ESCAT1700000017166D,42.0405555556,2.50888888889,980.0,,,
ESIBA0700000107669D,39.4255555556,3.21861111111,86.0,,,
ESIBA0700000107250B,39.5661111111,3.08583333333,90.0,,,
ESCYL2400000024006A,42.5991666667,-5.56083333333,836.0,,,
ESIBA0700000107540A,39.5841666667,3.32166666667,51.0,,,
ESCYL0500000005191A,40.5547222222,-4.8225,1130.0,,,
ESCYL0500000005429A,40.3922222222,-4.55972222222,729.0,,,
ESIBA0700000107140C,39.6469444444,2.89805555556,125.0,,,
ESMAD2800000028470B,40.7963888889,-4.06694444444,1220.0,,,
ESIBA0700000107200B,39.4552777778,3.18555555556,510.0,,,
ESMAD2800000028100B,40.5466666667,-3.64166666667,707.0,,,
ESAND1400000014470A,38.4841666667,-4.95305555556,580.0,,,
ESCYL2400000024411A,42.5727777778,-6.6425,511.0,,,
ESCYL3700000037001A,40.9633333333,-5.66138888889,803.0,,,
ESMUR3000000030520D,38.4752777778,-1.32222222222,520.0,,,
ESCLM4500000045600E,39.9247222222,-4.80027777778,502.0,,,
ESMUR3000000030612A,38.1377777778,-1.33222222222,125.0,,,
ESGAL1500000015320C,43.4505555556,-7.86416666667,370.0,,,
ESPVA0300000003293A,38.2294444444,-0.715,50.0,,,
ESARA2200000022600A,42.5197222222,-0.365,790.0,,,
ESAND2900000029713A,36.865,-4.14583333333,285.0,,,
ESPVA0300000003802F,38.7036111111,-0.521388888889,810.0,,,
ESPVA4600000046260A,39.1166666667,-0.517222222222,26.0,,,
ESPVA0300000003005A,38.365,-0.494722222222,61.0,,,
ESAND2300000023006A,37.7813888889,-3.8175,550.0,,,
ESAND1400000014005C,37.8841666667,-4.75916666667,125.0,,,
ESPVA4600000046890A,38.83,-0.545277777778,434.0,,,
ESEXT1000000010161A,39.1833333333,-6.16138888889,400.0,,,
ESCAT0800000008192A,41.5302777778,2.06777777778,230.0,,,
ESPVA0300000003837B,38.7811111111,-0.52,666.0,,,
ESCTB3900000039593F,43.3525,-4.36361111111,104.0,,,
ESEXT0600000006010A,38.8069444444,-6.95277777778,193.0,,,
ESEXT1000000010630A,40.3033333333,-6.32777777778,449.0,,,
ESGAL1500000015560A,43.5341666667,-8.07333333333,70.0,,,
ESGAL2700000027154A,43.0952777778,-7.58583333333,433.0,,,
ESGAL1500000015142B,43.2919444444,-8.5025,65.0,,,
ESCLM1900000019140A,40.5647222222,-3.06361111111,918.0,,,
ESCLM4500000045160A,39.8108333333,-4.1475,643.0,,,
ESCYL0900000009001D,42.3330555556,-3.69888888889,890.0,,,
ESGAL3600000036940A,42.2577777778,-8.79166666667,70.0,,,
ESCAT4300000043830B,41.1508333333,1.40138888889,54.0,,,
ESCYL0500000005270B,40.4152777778,-4.50444444444,700.0,,,
ESCAT0800000008519C,41.9030555556,2.38166666667,530.0,,,
ESAND2900000029631C,36.6011111111,-4.53111111111,105.0,,,
ESCAT0800000008600A,42.0991666667,1.84611111111,684.0,,,
ESPVA4600000046190A,39.5458333333,-0.570555555556,102.0,,,
ESMAD2800000028250A,40.5802777778,-3.8975,819.0,,,
ESPVA4600000046870D,38.8408333333,-0.610833333333,375.0,,,
ESMAD2800000028037A,40.4336111111,-3.62638888889,695.0,,,
ESPVA0300000003760A,38.8261111111,0.0241666666667,33.0,,,
ESPVA4600000046191B,39.5377777778,-0.619166666667,177.0,,,
ESPVA0300000003181C,37.9538888889,-0.7325,50.0,,,
ESCAT0800000008476A,41.7180555556,2.54777777778,97.0,,,
ESPVA0300000003400H,38.625,-0.865555555556,498.0,,,
ESCAT1700000017178B,42.1519444444,2.44472222222,462.0,,,
ESMAD2800000028650A,40.2944444444,-4.50638888889,802.0,,,
ESCAT0800000008035C,41.43,2.14305555556,210.0,,,
ESMAD2800000028813A,40.3683333333,-3.31527777778,810.0,,,
ESPVA4600000046192B,39.3580555556,-0.603055555556,165.0,,,
ESPVA0300000003837D,38.7847222222,-0.345,472.0,,,
ESPVA4600000046192A,39.3813888889,-0.543333333333,225.0,,,
ESPVA4600000046640A,38.8766666667,-0.750555555556,320.0,,,
ESPVA1200000012500A,40.4769444444,0.473333333333,13.0,,,
ESAND1400000014011A,37.9013888889,-4.88138888889,440.0,,,
ESAND1400000014960A,37.3272222222,-4.37138888889,645.0,,,
ESCAT1700000017130C,42.1027777778,3.11027777778,35.0,,,
ESCAT0800000008360D,41.5902777778,2.57694444444,40.0,,,
ESCAT0800000008259A,41.7430555556,1.71277777778,400.0,,,
ESAND2900000029660A,36.4880555556,-4.94888888889,3.0,,,
ESCAT4300000043850E,41.0694444444,1.05166666667,35.0,,,
ESPVA0300000003780D,38.8633333333,-0.11,70.0,,,
ESPVA0300000003780F,38.8419444444,-0.111944444444,66.0,,,
ESPVA4600000046008B,39.4766666667,-0.39,43.0,,,
ESPVA4600000046530C,39.6161111111,-0.303055555556,10.0,,,
ESCAT4300000043764A,41.1752777778,1.32611111111,55.0,,,
ESCAT0800000008519A,41.9513888889,2.32583333333,523.0,,,
ESCAT1700000017539B,42.4122222222,1.825,1340.0,,,
ESCYL3700000037260A,40.8791666667,-6.46944444444,732.0,,,
ESCAT0800000008360C,41.5869444444,2.57722222222,42.0,,,
ESPVA4600000046018D,39.4711111111,-0.400833333333,50.0,,,
ESPVA4600000046164C,39.5986111111,-0.751666666667,235.0,,,
ESPVA4600000046164B,39.6211111111,-0.71,150.0,,,
